,comment,comment_id,author_name,reply_count,like_count,date,total_reply_counts
87,"Bran should have died during the winterfell battle. something with the tree and the red priestess and the lord of light. could have easily been the sacrifice that saved the day the last minute. 
I'd have been ok if Danni had burned innocent people in the red keep brought there by Cersei. it would have given John and Tyrion the red flag to kill her. 
i would have liked Drogon to back John onto the throne and then melt it with him seated. 
then Tyrion king and Sansa queen in the north.",Ugwjm3XB9niZe4IO__J4AaABAg,Ciaran,0,0,2021-05-24T22:33:28Z,0
88,"Nah their choices were terrible even if they had more time.  There is no way Bran being king would ever be good.  Cerci dying from rocks, sucked too.  Among many other things.",UgzF7Jl46mSfq5-zXRJ4AaABAg,enemies_within,4,0,2021-05-24T14:48:59Z,4
89,"To be honest the reason i think Dany did what she did was because she had nothing left. Her dragon were killed by the lanisters friends, the lanisters turned there back on them, serei killed the black girl. When you have nothing left there is nothing else left to live for. I understand that it’s obviously wrong to kill thousands of people but Dany had to to get to her place",UgxkdJjBrEpht8jd-G14AaABAg,Fynn Garry,2,0,2021-05-23T21:23:35Z,2
90,I Also agree that she went from hard-core to crazy at kings landing way 2 fast.. a few more episodes would have made a huge difference.. also Bran is the worst character on that show... Jon Snow should have been the king period end of story,Ugzl76Z9jAug0X5VCkR4AaABAg,Tyler Anselmo,3,0,2021-05-23T07:26:30Z,3
91,Btw your such a pompous douche bag.. not that you'll ever see this but if you do.. Fuck you and everything about the last season of this show.. if you liked anything about season 8 other than the fight scenes you have lost all credibility.... i do agree that season 8 should have been at the very least 10 episodes preferably 12.. they needed to flesh out a bit more of the night kings story.. obviously.. and they also should have fleshed out more of danny going from kind of being crazy to literally losing her mind. Did i mention that your an idiot yet??,UgzQaucuDScJ04pORN54AaABAg,Tyler Anselmo,0,0,2021-05-23T07:23:32Z,0
92,2021 Sill pissed,UgxOxH_rVcMU_slY0mJ4AaABAg,Glenn M,0,0,2021-05-22T18:00:36Z,0
93,I think if they give us some more info about choices that they are making with more episodes it would have made sense.,Ugwz8scUarqEfoVc67t4AaABAg,Yash Nagda,0,0,2021-05-22T09:34:41Z,0
94,"You can see how shitty a TV show is when one of the book's best characters is universally hated by the public of the show hahaha

Seriously tho, Game Of Thrones is just mediocre. Luckily enough we have the novels to cling to 🙏",UgxL9fenGlEdp06WNUZ4AaABAg,Charles Lindberg,0,0,2021-05-21T07:32:50Z,0
95,How long did it take Chris to watch the show? I don’t think he said 😂,Ugwz9LYQreK7uDO3rQh4AaABAg,Earthling,0,0,2021-05-21T07:08:27Z,0
96,"Damn... I hadn't even thought of the idea of Arya taking brans face and using that to kill the night king. That would have been really fucking cool, actually, and could have fixed that problem... Which was one of the major problems I had with season eight.",UgwTTZz5POaQUAl6R3Z4AaABAg,Justanother Lostsoul,0,0,2021-05-20T00:51:50Z,0
97,16:30 lol. Agreed,Ugzp8TIK9x1OswGv3fZ4AaABAg,Fin707,0,0,2021-05-18T15:50:22Z,0
98,"Sorry, but if I would describe season 8 with one word it would be ""anticlimatic""",UgyEB6dtbxHLElMS6g94AaABAg,Mäxy,0,0,2021-05-18T15:25:55Z,0
99,"You mention that you're not surprised the Night King was an afterthought, but the thing is, he was a looming threat, he hadn't had his time in the spotlight yet, he could have and should have been so much more.

I fully agree that the white walkers are very unimpressive for most of the show, but if they'd had an entire season or maybe even two dedicated to their invasion beyond the wall, then they would stop being afterthoughts and be genuine threats.",Ugwhqwpp3DQQOv1pVTt4AaABAg,Metal-Spark,0,0,2021-05-18T10:02:16Z,0
